KSDV,97,勞訴,15,20080922,1
TPDV,110,重勞訴,32,20221202,2
KSDV,95,勞訴,75,20061106,1
TPSV,112,台上,2506,20240328,1
KSHV,113,勞上易,34,20240814,1
HLHV,96,勞上易,3,20071109,1
TPEV,91,北勞小,21,20020930,1
CDEV,107,橋勞小,5,20180530,1
TCHV,113,勞上,17,20241009,1
KSHV,96,勞上易,12,20070718,1
PTEV,91,屏勞簡,1,20020523,1
TNHV,96,勞上易,12,20070821,1
KSHV,111,勞上易,203,20220928,1
KSHV,105,勞上易,47,20161207,1
TPDV,106,重勞訴,24,20171208,1
TPSV,108,台上,991,20191204,1
KSHV,91,勞上,5,20021009,1
KSHV,97,勞上易,28,20081015,1
KSHV,113,勞上易,19,20240531,1
TCDV,107,勞再易,1,20180123,1
KSHV,111,勞上易,192,20220831,1
KMEV,90,城簡,76,20020809,2
TCHV,99,勞上易,18,20100525,1
TCDV,105,司促,16790,20160712,2
TPHV,109,重勞上,4,20201020,1
KSHV,110,勞上易,131,20220209,1
TPHV,98,勞上,74,20100202,1
TYDV,109,勞小,38,20201204,1
SJEV,98,重勞簡,36,20100107,1
KSDV,104,勞訴,77,20150826,1
KSHV,106,勞上易,4,20170314,1
KSHV,105,勞上易,13,20160427,1
ILDV,107,勞訴,12,20190618,1
KSHV,111,勞上易,131,20220630,1
KSEV,108,雄勞簡,115,20200115,1
PCEV,106,板勞小,23,20170629,2
KSHV,110,勞上易,30,20210707,1
TPHV,105,重勞上,17,20170531,1
KSDV,91,訴,1123,20021004,1
TNHV,106,勞再易,1,20170926,1
TPHV,112,勞上,116,20240709,1
KSDV,107,勞小上,10,20190107,2
KSHV,111,勞上易,30,20220309,1
KSHV,96,勞上易,7,20071031,3
TPHV,92,勞上易,27,20030729,1
TPHV,98,勞上易,112,20100226,1
TCDV,109,勞訴,156,20211228,1
KSHV,113,勞上易,27,20240731,1
KSDV,110,勞簡上,11,20220711,1
KSHV,106,重勞上更,2,20190122,1
