TYDV,103,勞訴,23,20141229,3
TPHV,104,勞抗,4,20150129,1
TYDV,101,勞訴,61,20130830,1
TCHV,105,勞上,30,20170613,1
CHDV,104,勞訴,32,20160614,1
TYDV,108,勞訴,57,20200327,2
TPDV,106,重勞訴,24,20180119,2
TPHV,107,重勞上,21,20200506,2
CHDV,104,勞訴,32,20160829,3
TPHV,109,勞再易,2,20200211,1
TYDV,107,勞訴,29,20180517,1
TCDV,108,勞訴,152,20191101,2
TNDV,107,勞訴,68,20190624,2
CTDV,108,勞訴,90,20191210,2
CTDV,108,勞訴,67,20191108,2
CTDV,108,勞訴,73,20191203,2
CLEV,96,壢勞簡,13,20070917,2
CTDV,108,勞訴,110,20200120,2
TPDV,94,重勞訴,12,20060303,2
SLDV,94,勞訴,42,20060925,1
TPDV,96,勞訴,29,20070320,1
SLDV,94,勞訴,42,20061205,3
TPDV,95,勞訴,102,20061218,2
TPDV,96,勞訴,29,20070523,3
TPDV,95,勞訴,102,20061227,3
TPHV,110,勞聲,17,20210414,1
TPHV,110,勞再易,4,20210303,1
TPHV,110,勞再易,7,20210414,1
TPHV,110,勞再易,4,20210318,2
TPHV,110,勞再易,9,20210527,1
TPHV,110,聲再,90,20210527,1
TYDV,95,勞訴,26,20060925,2
TPDV,95,勞訴,174,20070124,2
TPDV,94,勞訴,166,20051220,1
TPDV,94,勞訴,166,20051220,2
TPDV,95,勞訴,174,20070303,3
TCDV,95,勞訴,119,20061213,1
TCDV,95,勞訴,119,20070216,1
TCDV,96,勞訴,5,20070409,2
TCDV,95,勞訴,119,20070216,3
CYDV,95,勞訴,8,20070131,1
CYDV,95,勞訴,8,20070131,2
CYDV,95,勞訴,8,20070426,3
KSDV,95,勞訴,64,20070417,2
KSDV,96,勞訴,6,20070504,2
KSHV,96,勞上易,14,20070815,2
ULDV,93,勞訴,8,20051130,1
TYDV,109,勞訴,35,20210329,2
MLDV,110,司他,6,20210505,1
CYDV,109,勞訴,7,20200908,2
TNHV,109,勞上,23,20210318,2
CYDV,109,勞訴,6,20201007,2
CTDV,109,勞訴,81,20201015,2
CTDV,109,勞訴,94,20201208,2
TPDV,111,勞訴,433,20230206,2
KSHV,111,勞上,30,20230410,1
TPDV,99,勞訴,150,20110919,2
TPHV,112,勞上易,34,20230718,2
CYDV,99,勞訴,25,20110504,2
TNHV,100,勞上易,10,20110830,1
PTDV,99,勞訴,16,20110825,2
TYDV,98,勞訴,91,20110407,2
KSHV,100,勞上,27,20120321,3
TPHV,101,勞再易,6,20120419,1
TYDV,99,勞訴,65,20101130,1
TCDV,98,勞訴,180,20101208,2
TNHV,100,勞上更(一),3,20120928,1
TNHV,100,勞上更(一),3,20130716,4
CYDV,99,勞訴,7,20100614,2
TNHV,100,勞上更(一),3,20130108,3
TNHV,99,勞抗,2,20101103,1
TNHV,103,勞上更(二),1,20150601,1
KSDV,99,勞訴,16,20100621,1
KSDV,99,勞訴,16,20110419,3
TYDV,113,勞訴,160,20250312,2
TYDV,113,勞訴,166,20250508,2
TPDV,111,重勞訴,19,20230421,1
TPDV,111,重勞訴,19,20231031,3
CHDV,112,勞訴,33,20240807,2
TCHV,113,重勞上,3,20250224,2
TNDV,90,勞訴,27,20011207,1
KSDV,91,勞訴,43,20020829,1
TYDV,108,勞訴,115,20200831,1
TYDV,108,勞訴,115,20210308,3
TYDV,107,勞訴,186,20191213,2
TYDV,108,勞訴,115,20220107,4
KSDV,108,勞訴,173,20200729,2
KSHV,109,勞上,40,20210209,2
CTDV,109,勞訴,72,20200922,2
CTDV,109,勞訴,93,20201208,2
KSDV,109,勞訴,99,20200812,1
CTDV,109,勞訴,92,20201222,2
TPDV,90,勞訴,46,20010928,2
TPDV,90,勞訴,46,20011130,1
TPHV,110,勞聲,10,20210318,1
TPDV,104,重勞訴,29,20151204,2
TPHV,111,勞再,5,20230330,1
TPHV,111,勞再,5,20230504,2
TYDV,111,勞訴,34,20220721,2
TPDV,104,重勞訴,29,20160217,4
TPHV,108,勞上更一,7,20190709,1
TPDV,104,重勞訴,29,20160223,5
TPHV,108,勞上更一,7,20191128,2
TPHV,108,勞上更一,7,20200414,3
TPDV,110,勞訴,312,20211115,1
TPDV,110,勞訴,311,20211118,1
TPDV,110,勞訴,368,20211222,1
MLDV,111,司他,21,20220729,1
CYDV,110,勞訴,33,20220804,2
KSDV,108,重勞訴,6,20200323,2
KSHV,110,勞上易,111,20220420,1
KSHV,109,重勞上,5,20210105,1
CTDV,111,勞訴,94,20220517,2
CTDV,111,勞訴,70,20220523,2
CTDV,111,勞訴,59,20220516,2
CTDV,111,勞訴,91,20220530,2
CTDV,111,勞訴,37,20220329,2
TPDV,95,重勞訴,4,20061218,2
TPDV,95,重勞訴,4,20061219,3
TPHV,96,重勞上,1,20070419,1
TPHV,96,重勞上,1,20070419,2
TPHV,98,重勞再,4,20090917,1
TPDV,96,重勞訴,4,20070627,1
TPDV,96,重勞訴,4,20071008,3
TPDV,96,勞訴,138,20080102,2
TPDV,96,勞訴,106,20080110,2
TPDV,94,重勞訴,7,20060810,2
TYDV,94,重勞訴,4,20070306,3
TCDV,96,勞訴,96,20080130,1
TCDV,96,勞訴,96,20080130,2
TPHV,97,重勞上更(一),5,20090415,1
TTDV,96,訴,64,20080214,2
KSDV,97,勞訴,6,20080415,2
KSDV,96,勞訴,39,20080428,2
KSDV,97,勞訴,4,20080418,2
TCDV,94,勞訴,106,20060606,2
TPDV,95,勞訴,159,20070124,2
TPHV,97,勞再,4,20081229,2
CYDV,94,勞訴,10,20061110,2
KSDV,95,勞訴,69,20070307,2
ULDV,90,勞訴,1,20020607,1
TPDV,93,勞訴,61,20041019,2
TPHV,95,重勞再,6,20070823,1
TPHV,97,勞再易,14,20081208,1
TCHV,99,勞再易,11,20101125,1
TCHV,99,勞再易,11,20101231,2
TPDV,98,勞訴,161,20100111,2
KSDV,97,勞訴,82,20081231,2
CHDV,97,勞訴,31,20090703,1
TCDV,98,勞訴,77,20091123,2
SLDV,102,重勞訴,5,20130930,1
TPHV,103,重勞上,1,20150526,1
TYDV,105,勞訴,59,20180119,1
TPDV,106,勞訴,260,20170804,1
TPDV,106,勞訴,260,20180409,3
CHDV,105,勞訴,50,20170918,1
CHDV,105,勞訴,50,20171127,2
MLDV,106,勞訴,15,20180118,1
MLDV,106,勞訴,15,20180703,3
TCHV,107,勞上,13,20181129,2
ULDV,106,勞訴,6,20180523,2
CYDV,106,勞訴,16,20180213,1
ULDV,106,勞訴,18,20180625,2
CTDV,107,勞訴,49,20180730,1
KSDV,107,勞訴,71,20180801,1
CTDV,107,勞訴,45,20180912,2
KSDV,106,重勞訴,3,20180301,2
TYDV,97,司促,27185,20080731,2
TYDV,97,勞訴,64,20081020,1
TPHV,97,勞上,39,20080714,1
TPDV,96,勞訴,86,20080502,3
TYDV,96,勞訴,63,20090123,5
TYDV,96,勞訴,63,20080630,3
TPDV,97,勞訴,108,20080729,1
TYDV,113,勞訴,120,20250203,2
SLDV,110,勞訴,63,20220823,1
TPHV,111,勞上,132,20240227,1
TPHV,111,勞上,132,20241126,2
SLDV,108,重勞訴,5,20200804,1
SLDV,108,重勞訴,5,20220816,3
TPHV,111,重勞上,49,20250219,2
TPDV,111,重勞訴,49,20230720,2
TPHV,113,勞上易,53,20240924,1
KLDV,112,勞訴,20,20240201,2
TCDV,111,勞訴,239,20231124,2
TCDV,112,勞訴,65,20230907,1
TCDV,112,勞訴,65,20240313,1
TCDV,112,勞訴,65,20240313,3
HLDV,113,勞訴,1,20240117,1
TPDV,92,勞訴,150,20040329,2
TPDV,92,勞訴,150,20041027,3
TYDV,92,勞訴,52,20040419,3
TYDV,92,勞訴,52,20040310,1
TPDV,112,勞訴,90,20230425,1
TPDV,112,勞訴,90,20230629,3
TPHV,112,勞上,116,20240904,2
TPHV,112,勞上,116,20250805,3
PCDV,111,勞訴,195,20230612,2
KSDV,107,重勞訴,3,20191111,2
MLDV,114,司他,14,20250514,1
KSHV,112,重勞上更一,1,20240731,2
TYDV,91,勞訴,18,20030128,2
CHDV,91,勞訴,29,20021231,1
CHDV,91,勞訴,30,20021231,2
TCDV,91,勞再,1,20020509,1
TCHV,91,勞再易,4,20021011,2
TCHV,91,勞再易,2,20020703,1
TCHV,91,勞再易,4,20021011,1
TPHV,104,重勞上更(一),1,20150910,1
TPHV,107,重勞上更二,1,20180322,1
TYDV,107,勞訴,157,20191001,2
TPHV,108,重勞上更三,7,20210322,1
TYDV,107,勞訴,196,20190429,1
TYDV,107,勞訴,157,20191127,3
TYDV,105,勞訴,32,20170314,2
TYDV,107,勞訴,196,20190903,4
TPHV,106,勞上,34,20190912,2
TYDV,107,勞訴,196,20190812,3
TPHV,109,勞再,1,20200110,1
TCDV,107,勞訴,174,20190408,2
TCDV,107,勞訴,190,20190419,2
TPHV,109,勞聲,9,20200122,1
TCDV,107,勞訴,191,20190528,2
CYDV,107,勞訴,30,20190328,2
TNHV,108,勞上易,10,20190821,2
CYDV,107,勞訴,28,20190318,2
CTDV,108,勞訴,10,20190514,2
CTDV,108,勞訴,36,20190723,2
TPDV,99,勞訴,162,20110328,2
MLDV,96,重勞訴,1,20080616,1
MLDV,96,重勞訴,1,20090716,10
MLDV,96,重勞訴,1,20090316,7
MLDV,96,重勞訴,1,20090909,11
MLDV,96,重勞訴,1,20090716,9
TCHV,98,重勞上,11,20100723,2
CYDV,98,勞訴,1,20100209,2
TCHV,98,重勞上,11,20100816,3
KSDV,98,勞訴,50,20100122,1
KSDV,98,勞訴,50,20100312,3
TCDV,99,勞訴,52,20100615,1
TCHV,99,勞上,27,20110510,2
TPHV,93,勞上更(一),1,20041217,2
TPDV,91,勞訴,150,20020814,2
TPHV,93,勞再易,13,20041020,1
TPHV,93,勞再易,13,20050125,2
TPHV,93,勞再易,13,20050223,3
TPHV,98,勞再易,8,20090811,1
PCDV,97,勞訴,32,20081118,1
KSDV,97,勞訴,85,20090227,1
PCDV,97,勞訴,32,20090624,3
TPDV,111,勞訴,372,20230816,2
TPDV,112,勞訴,287,20240312,2
PCDV,111,勞訴,105,20231016,2
TPHV,113,勞上易,28,20241210,1
TPHV,104,勞上易,21,20151019,2
KSHV,111,勞上,2,20220727,1
KSHV,111,勞上,2,20230118,3
KSDV,103,勞訴,1,20141106,2
KSDV,103,勞訴,62,20150316,1
KSDV,104,勞訴,29,20150601,2
KSDV,104,勞訴,44,20150623,2
KSDV,104,勞訴,29,20150601,3
SLDV,108,勞訴,69,20191209,2
TCDV,107,勞訴,251,20190621,2
TCHV,109,勞再易,1,20200515,2
CTDV,108,勞訴,116,20200207,2
TNDV,106,勞訴,29,20180221,2
TNHV,107,勞上,8,20181226,1
TCDV,107,勞訴,186,20190422,2
TPHV,105,勞上,32,20171020,2
TPDV,104,勞訴,15,20160222,2
SLDV,108,勞訴,1,20200408,2
TPHV,110,勞上更一,21,20230206,1
SCDV,109,勞訴,73,20210419,2
