CTDV,110,勞訴,90,20220107,1
CTDV,111,勞訴,95,20220523,1
CTDV,111,勞訴,106,20220518,1
CTDV,111,勞訴,92,20220429,1
CTDV,111,勞訴,98,20220523,1
SLDV,97,勞訴,50,20090421,1
PCDV,90,勞訴,11,20010830,1
TPDV,97,重勞訴,15,20090123,1
TPDV,102,勞訴,92,20131129,1
TPDV,98,重勞訴,17,20100430,2
TPDV,101,勞訴,252,20140220,3
CTDV,111,勞訴,110,20220518,1
CHDV,102,勞訴,26,20140331,1
TCDV,102,勞訴,63,20140221,1
KSDV,102,勞訴,92,20131218,1
TNDV,103,勞訴,1,20140422,1
TPDV,97,重勞訴,24,20130830,5
TPDV,102,勞訴,129,20140227,1
CHDV,103,勞訴,12,20140708,1
CHDV,104,勞訴,32,20160804,2
TPDV,106,重勞訴,24,20171208,1
TCDV,108,勞訴,152,20191008,1
CTDV,108,勞訴,98,20191128,1
CTDV,108,勞訴,90,20191128,1
CTDV,108,勞訴,74,20191125,1
TNDV,107,勞訴,68,20190522,1
CTDV,108,勞訴,73,20191112,1
CTDV,108,勞訴,67,20191024,1
CTDV,108,勞訴,93,20191219,1
SLDV,94,勞訴,42,20061109,2
CTDV,108,勞訴,110,20200102,1
CTDV,108,勞訴,83,20191205,1
TPDV,94,重勞訴,12,20060124,1
TPDV,96,勞訴,29,20070430,2
TPDV,95,勞訴,102,20061130,1
TPEV,96,北勞訴,2,20070430,1
PCDV,95,勞訴,100,20070227,1
CYDV,95,勞訴,12,20070330,1
TPDV,95,勞訴,174,20070118,1
TPDV,94,勞訴,166,20060214,1
TCDV,95,勞訴,119,20070124,2
TCDV,96,勞訴,5,20070313,1
CHDV,96,勞訴,3,20070430,1
KSDV,95,勞訴,64,20070323,2
CYDV,95,勞訴,8,20070330,1
KSDV,95,勞訴,64,20070323,1
KSDV,96,勞訴,6,20070416,1
ULDV,93,勞訴,8,20051031,1
TPDV,91,勞訴,196,20030408,1
TPDV,94,勞訴,96,20051124,1
CYDV,94,勞訴,2,20050531,1
CYDV,92,勞訴,6,20040309,1
SLDV,92,勞訴,1,20031014,1
KSDV,94,勞訴,23,20051004,1
MLDV,109,勞訴,7,20201030,1
KSDV,109,勞訴,68,20201030,1
CYDV,109,勞訴,7,20200813,1
CTDV,109,勞訴,94,20201119,1
CYDV,109,勞訴,6,20200924,1
CTDV,109,勞訴,81,20200930,1
TPDV,111,勞訴,433,20221230,1
TPDV,99,勞訴,172,20110311,1
TPDV,99,勞訴,150,20110519,1
KSDV,109,勞訴,169,20220411,1
TPDV,111,勞訴,482,20221230,1
SLDV,98,重勞訴,11,20091117,1
TPDV,112,勞訴,53,20230324,1
KSDV,112,勞訴,30,20230412,1
CYDV,99,勞訴,25,20110408,1
PTDV,99,勞訴,16,20110729,1
CYDV,99,勞訴,15,20110804,1
TPDV,99,勞訴,56,20100505,1
TCDV,98,勞訴,180,20101115,1
TPDV,99,勞訴,89,20101029,1
CYDV,99,勞訴,7,20100614,1
TPSV,103,台上,792,20140430
TPSV,105,台上,632,20160415
KSDV,99,勞訴,16,20101227,2
TPDV,111,重勞訴,19,20231016,2
TPDV,113,勞訴,97,20240508,1
CHDV,112,勞訴,33,20240715,1
TPDV,112,勞訴,384,20231229,1
CHDV,91,勞訴,15,20020830,1
TNDV,90,勞訴,27,20020321,1
CHDV,91,勞訴,6,20020808,1
TPDV,113,勞訴,31,20240220,1
TPDV,113,勞訴,156,20240531,1
TPDV,113,勞訴,133,20240524,1
TPDV,113,勞訴,35,20240220,1
TPSV,88,台上,1696,19990730
KSDV,91,勞訴,43,20020809,1
KSDV,108,勞訴,173,20200630,1
TPDV,108,勞訴,263,20200514,1
CTDV,109,勞訴,93,20201119,1
CTDV,109,勞訴,89,20201026,1
CTDV,109,勞訴,85,20201014,1
KSDV,109,勞訴,99,20200812,2
CTDV,109,勞訴,72,20200828,1
CTDV,109,勞訴,92,20201130,1
TPDV,90,勞訴,46,20010928,1
KSDV,93,勞訴,20,20040618,2
TPDV,90,勞訴,46,20020124,1
TPDV,108,勞訴,192,20191213,1
TPDV,104,重勞訴,29,20160119,3
TPDV,110,勞訴,290,20211208,1
TPDV,110,勞訴,340,20211230,1
TPDV,110,勞訴,311,20211230,2
TCDV,110,勞訴,142,20211029,1
TPDV,110,勞訴,368,20220211,2
TPDV,110,勞訴,335,20220128,1
TPDV,110,勞訴,312,20211230,2
CYDV,110,勞訴,33,20211130,1
MLDV,110,勞訴,13,20211230,1
CTDV,109,勞訴,86,20211013,1
KSDV,108,重勞訴,6,20200227,1
TPDV,111,勞訴,7,20220120,1
TCDV,110,勞訴,69,20211112,1
CTDV,111,勞訴,62,20220322,1
CTDV,111,勞訴,30,20220314,1
CTDV,111,勞訴,64,20220322,1
CTDV,111,勞訴,10,20220222,1
CTDV,111,勞訴,56,20220318,1
CTDV,111,勞訴,65,20220322,1
CTDV,111,勞訴,29,20220318,1
CTDV,111,勞訴,7,20220321,1
CTDV,111,勞訴,18,20220321,1
CTDV,111,勞訴,82,20220401,1
CTDV,111,勞訴,49,20220421,1
CTDV,111,勞訴,25,20220407,1
KSDV,111,勞訴,58,20220420,1
CTDV,111,勞訴,58,20220425,1
CTDV,111,勞訴,94,20220428,1
CTDV,111,勞訴,57,20220425,1
CTDV,111,勞訴,24,20220407,1
CTDV,111,勞訴,70,20220502,1
CTDV,111,勞訴,59,20220425,1
CTDV,111,勞訴,27,20220314,1
CTDV,111,勞訴,91,20220512,1
CTDV,111,勞訴,77,20220509,1
TPDV,95,重勞訴,4,20061123,1
CTDV,111,勞訴,37,20220317,1
CTDV,111,勞訴,34,20220317,1
TPDV,96,重勞訴,4,20070829,2
TPDV,96,勞訴,106,20071217,1
TPDV,96,勞訴,138,20071207,1
TPDV,96,勞訴,181,20080307,1
TPDV,94,重勞訴,7,20060712,1
TTDV,96,訴,64,20080117,1
KSDV,97,勞訴,6,20080320,1
TCDV,96,勞訴,96,20080321,2
TCDV,96,勞訴,42,20080417,1
KSDV,97,勞訴,4,20080319,1
KSDV,96,勞訴,39,20080403,1
TCDV,94,勞訴,106,20060522,1
TPDV,95,勞訴,159,20061226,1
TPDV,94,勞訴,145,20060824,1
CYDV,94,勞訴,10,20060726,1
KSDV,95,勞訴,69,20061221,1
TNDV,94,勞訴,35,20061213,2
TPDV,91,勞訴,147,20021030,1
CHDV,92,勞訴,1,20030227,1
CHDV,91,勞訴,19,20021127,1
CHDV,91,勞訴,32,20030218,1
CHDV,92,勞訴,2,20030321,1
TCDV,90,勞訴,54,20020125,1
TPDV,93,勞訴,61,20040917,1
ULDV,90,勞訴,1,20020417,1
TPDV,96,勞訴,58,20071029,2
PCDV,97,勞訴,21,20080624,1
TCDV,96,勞訴,104,20080410,1
TPDV,96,勞訴,58,20071019,1
KSDV,97,勞訴,82,20081202,1
CHDV,97,勞訴,31,20091231,2
TPDV,98,勞訴,161,20091211,1
KSDV,98,勞訴,56,20091231,1
TCDV,98,勞訴,157,20100203,1
TCDV,98,勞訴,77,20091028,1
PCDV,105,勞訴,145,20170414,1
SLDV,102,重勞訴,5,20131113,2
PCDV,106,重勞訴,19,20180402,1
TPDV,106,勞訴,260,20180309,2
CHDV,105,勞訴,50,20180130,3
CYDV,106,勞訴,16,20180413,2
MLDV,106,勞訴,15,20180604,2
ULDV,106,勞訴,6,20180430,1
ULDV,106,勞訴,18,20180531,1
CTDV,107,勞訴,28,20180614,1
CTDV,107,勞訴,44,20180628,1
KSDV,107,勞訴,73,20180730,1
CTDV,107,勞訴,42,20180731,1
KSDV,107,勞訴,71,20180815,2
CTDV,107,勞訴,56,20180821,1
CTDV,107,勞訴,49,20180816,2
CTDV,107,勞訴,45,20180807,1
KSDV,106,重勞訴,3,20180208,1
TPDV,96,勞訴,86,20080403,2
TPDV,97,勞訴,108,20080826,2
TPDV,111,重勞訴,49,20230617,1
SLDV,110,勞訴,63,20220916,2
SLDV,108,重勞訴,5,20220711,2
KLDV,112,勞訴,20,20231229,1
TPDV,111,勞訴,333,20230428,1
TPDV,113,勞訴,85,20240423,1
TPDV,112,勞訴,354,20231130,1
TPDV,113,勞訴,79,20240517,1
TCDV,111,勞訴,239,20231024,1
TCDV,112,勞訴,65,20230907,2
TCDV,112,勞訴,65,20240111,2
TPDV,92,勞訴,150,20040304,1
TPDV,112,勞訴,345,20231219,1
HLDV,113,勞訴,1,20240531,2
TPDV,92,勞訴,147,20040130,1
TPDV,113,勞訴,100,20240403,1
CHDV,93,勞訴,7,20040405,1
CHDV,92,勞訴,38,20040109,1
TTDV,91,勞訴,7,20030718,1
CHDV,92,勞訴,31,20031117,1
TPDV,90,重勞訴,2,20020131,1
KSDV,113,勞訴,117,20240918,1
TTDV,91,勞訴,1,20030718,1
PCDV,111,勞訴,195,20230516,1
KSDV,107,重勞訴,3,20191017,1
TPDV,112,勞訴,90,20230531,2
CHDV,112,勞訴,36,20240112,1
MLDV,112,勞訴,21,20231113,1
TPDV,112,勞訴,176,20230714,1
MLDV,112,勞訴,29,20240131,1
CTDV,113,勞訴,14,20240430,1
TPDV,91,勞訴,4,20021107,1
TPDV,91,勞訴,104,20020930,1
CHDV,91,勞訴,31,20030108,1
KSDV,113,勞訴,30,20240417,1
CHDV,91,勞訴,29,20030129,2
CHDV,91,勞訴,30,20030129,1
KSDV,113,勞訴,25,20240507,1
TCDV,90,訴,1087,20010802,1
TCHV,90,上,493,20020219,1
CYDV,91,勞訴,3,20021023,1
SLDV,100,重勞訴,9,20120921,1
KSDV,91,勞訴,62,20030106,1
TCDV,107,勞訴,174,20190307,1
SLDV,106,勞訴,86,20180905,1
TCDV,107,勞訴,190,20190320,1
TCDV,107,勞訴,191,20190424,1
CYDV,107,勞訴,30,20190304,1
CYDV,107,勞訴,28,20190221,1
CTDV,108,勞訴,10,20190418,1
CTDV,108,勞訴,7,20190329,1
CTDV,108,勞訴,36,20190625,1
TPDV,99,勞訴,162,20110325,1
SLDV,98,勞訴,39,20091106,1
KSDV,100,勞訴,62,20110817,1
KSDV,100,勞訴,51,20110715,1
PCDV,99,勞訴,112,20110531,1
CYDV,98,勞訴,1,20100121,1
TPDV,99,勞訴,329,20110113,1
KSDV,98,勞訴,50,20100225,2
TCDV,99,勞訴,52,20100817,2
TPDV,89,勞訴,125,20010620,1
TPDV,90,勞訴,55,20010712
MLDV,96,重勞訴,1,20090616,8
KSDV,99,勞訴,77,20110128,1
TPDV,89,勞訴,125,20011101,1
TPDV,91,勞訴,150,20030609,1
KSDV,91,勞訴,69,20030318,1
PCDV,98,勞訴,5,20090305,1
PCDV,97,勞訴,32,20090219,2
KSDV,97,勞訴,85,20090331,2
TPDV,112,勞訴,287,20240131,1
TPDV,111,勞訴,372,20230725,1
TPDV,111,勞訴,234,20230224,1
PCDV,111,勞訴,105,20230916,1
KSDV,110,勞訴,16,20211102,1
KSDV,113,勞訴,137,20241101,1
TPDV,103,勞訴,166,20141230,1
KSDV,103,勞訴,1,20141014,1
KSDV,104,勞訴,29,20150430,1
KSDV,103,勞訴,62,20150519,1
KSDV,103,勞訴,62,20150519,2
TPDV,112,勞訴,388,20231229,1
KSDV,104,勞訴,44,20150529,1
TPDV,108,勞訴,153,20191227,1
TPDV,108,勞訴,144,20191025,1
